Class,precision,recall,f1-score,support
0,0.9453342808724648,0.9883620412508126,0.9663694436586022,139973.0
1,0.5543091655266758,0.20207460602433672,0.29617718003069954,10026.0
accuracy,0.9358062387082581,0.9358062387082581,0.9358062387082581,0.9358062387082581
macro avg,0.7498217231995703,0.5952183236375747,0.6312733118446509,149999.0
weighted avg,0.9191979879207993,0.9358062387082581,0.9215734941180497,149999.0
